title;published_at;views;url;DATA REAL;PERIODO;tipo_conteudo;tempo_video;temporada;momento
TABELA DO 2º SPLIT #LTA ON: 05/04 - ?? ISURUS - jogo 1 06/04 - ?? LOUD - jogo 5;2025-03-26 21:00:30+00:00;5034;https://www.youtube.com/watch?v=TFBi0zqhHgc;26/03/2025;FORA DO PERÍODO;outro;00:23;FORA DO ;RÍODO
treininho de biceps tranquilo ??Autorização SPA/MF 322.?? JOGUE COM RESPONSABILIDADE!;2025-03-28 14:58:35+00:00;10765;https://www.youtube.com/watch?v=PvowsnIeCUM;28/03/2025;FORA DO PERÍODO;shorts;00:26;FORA DO ;RÍODO
paiN x Isurus pela LTA vai pegar fogo ?? #shorts;2025-04-01 15:18:01+00:00;12494;https://www.youtube.com/watch?v=vCjqf58z5vA;01/04/2025;2º SPLIT - Pré;shorts;00:12;2º SPLIT;Pré
BASTIDORES E TREINOS DO PNG ROAMER | LEAGUE VLOG - EP5;2025-04-04 20:59:00+00:00;42687;https://www.youtube.com/watch?v=8mTuX34tq2E;04/04/2025;2º SPLIT - Pré;serie_vlog;16:35;2º SPLIT;Pré
PAIN x ISURUS ESTRAL & LOUD - LTA SUL 2º SPLIT | POR DENTRO DO GAME by JBL QUANTUM ??;2025-04-08 16:15:02+00:00;39450;https://www.youtube.com/watch?v=Ypy-1-16fME;08/04/2025;2º SPLIT - Split;na_escuta;06:54;2º SPLIT;Split
o Kuri gritou mesmo pra Isurus ?? #cblol #lta #mobilelegends #leagueoflegends #lol #paingaming;2025-04-09 16:08:23+00:00;44895;https://www.youtube.com/watch?v=-aGKJir2QY4;09/04/2025;2º SPLIT - Split;shorts;00:22;2º SPLIT;Split
toda a amizade de paiN kuri e paiN roamer #leagueoflegends #cblol #paingaming #lolmemes;2025-04-10 21:25:30+00:00;14066;https://www.youtube.com/watch?v=4iKcgnk6zZg;10/04/2025;2º SPLIT - Split;shorts;00:24;2º SPLIT;Split
A MELHOR ESTREIA DE UM MID NA PAIN? | PAIN RESPONDE - EP5;2025-04-10 15:05:17+00:00;37017;https://www.youtube.com/watch?v=k3QeBI6qKok;10/04/2025;2º SPLIT - Split;interativo;11:33;2º SPLIT;Split
GG IZI, SEM MUITAS EMOÇÕES ?? | LEAGUE VLOG - EP6;2025-04-11 21:00:34+00:00;26385;https://www.youtube.com/watch?v=UQ62--a7TWY;11/04/2025;2º SPLIT - Split;serie_vlog;13:57;2º SPLIT;Split
o brasileirinho PNG Roamer;2025-04-11 14:41:55+00:00;20807;https://www.youtube.com/watch?v=b9NkZhsZxtE;11/04/2025;2º SPLIT - Split;shorts;00:09;2º SPLIT;Split
